n,concept_en,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun,fur,lij,lmo,sc,scn,vec
70,feather,penna,plume,pluma,ploma,pluma,pluma,Feder,feather,pero,pero,toll,plume,penna,"pèna, badina, piüm",pinna,pinna,pena
71,hair,capello,"cheveu, poil (rare)","cabello, pelo","cabell, pèl","cabelo, pelo",pel,Haar,hair,lasje,"kosa, dlaka, vlas",haj,cjavel,cavello,cavèj,pilos,capiḍḍu,cavel
72,head,testa,"tête, chef (rare)",cabeza,cap,cabeça,cap,"Haupt, Kopf",head,glava,glava,fej,cjâf,testa,"coo, cràpa",conca,"capu, testa","crapa, testa"
73,ear,orecchio,oreille,oreja,orella,orelha,aurelha,Ohr,ear,uho,"uho, uvo",fül,orele,oêgia,urégia,orija,aricchia,recia
74,eye,occhio,œil,ojo,ull,olho,"uèlh, uòlh",Auge,eye,oko,oko,szem,voli,éuggio,"oeugg, öcc",oju,occhiu,ocio
75,nose,naso,nez,nariz,nas,nariz,nas,Nase,nose,nos,nos,orr,nâs,nâzo,naas,nasu,nasu,naso
76,mouth,bocca,bouche,boca,boca,boca,boca,Mund,mouth,usta,usta,száj,bocje,bocca,buca,bucca,vucca,boca
77,tooth,dente,dent,diente,dent,dente,dent,Zahn,tooth,zob,zub,fog,dint,dente,"dinc, déent",dente,denti,dente
78,tongue (organ),lingua,langue,lengua,llengua,língua,lenga,Zunge,tongue (organ),jezik,jezik,nyelv,lenghe,léngoa,léngua,limba,lingua,lingua
79,fingernail,unghia,ongle,uña,ungla,unha,ongla,Fingernagel,fingernail,noht,nokat,köröm,ongule,ongia,üngia,ugna,ugna,ongia
80,foot,piede,pied,pie,peu,pé,pè,Fuß,foot,"noga, stopalo","stopa, stopalo",lábfej,pît,pê,pè,pe’,pedi,pie
81,leg,gamba,jambe,pierna,cama,perna,camba,Bein,leg,noga,noga,láb,gjambe,ganba,"gàmba, garon",camba,gamma,gamba
82,knee,ginocchio,genou,"rodilla, hinojo (old-f.)",genoll,joelho,genolh,Knie,knee,koleno,"koleno, koljeno",térd,zenoli,zenoggio,"genoeugg, genöcc, ginöcc",benuju,dinocchiu,genocio
83,hand,mano,main,mano,mà,mão,man,Hand,hand,roka,"ruka, šaka",kéz,man,man,maŋ,manu,manu,man
84,wing,ala,aile,ala,ala,asa,ala,"Fittich, Flügel, Schwinge",wing,"krilo, perut",krilo,szárny,ale,âa,àla,ala,ala,ala
85,belly,pancia,ventre,"vientre, barriga","ventre, panxa","ventre, barriga",ventre,"Bauch, Leib",belly,trebuh,"stomak, trbuh",has,panze,pansa,"borigia, venter, pànza",panza,panza,panza
86,guts,intestino,"entrailles pl, tripes pl, intestins pl","tripas pl, intestinos pl, entrañas pl","budells pl, intestins pl, tripes pl","tripas pl, entranhas  pl, intestinos pl","tripa, budèl","Eingeweide, Gedärm, Innereien, Kaldaunen",guts,"drobovje, črevo","crevo, crijevo",bél,intestin,intestin,"büèl, buvell",bolloros,vureḍḍu,budela
87,neck,collo,"cou, nuque (nape)","cuello, nuca (nape)","coll, nuca (nape)","pescoço, colo (rare), nuca (nape)",còl,"Hals, Nacken",neck,vrat,"vrat, šija",nyak,cuel,collo,còl,collu,coḍḍu,colo
88,back,schiena,dos,"espalda (human), lomo (animal)","esquena (human), llom (animal)","costas pl / (human), lombo (animal)",esquina,Rücken,back,hrbet,leđa,hát,schene,schénn-a,"s'céna, r'céna, schèna",ischina,carina,schena
89,breast,petto,"poitrine, sein","pecho, seno","pit, si","peito, seio","pièch, pitre","Brust, Busen",breast,"prsi, nedra","grudi, prsa",mell,pet,pêto,pecc,pettus,pettu,"peto, teta"
90,heart,cuore,cœur,corazón,cor,coração,còr,Herz,heart,srce,srce,szív,cûr,cheu,"cöör, coeur",coro,cori,cor
91,liver,fegato,foie,hígado,fetge,fígado,fetge,Leber,liver,jetra,jetra,máj,fiât,figæto,"fidegh, fìdech",fidigu,fìcatu,fedigo
92,to drink,bere,boire,"beber, tomar",beure,beber,beure,trinken,to drink,piti,piti,iszik,bevi,béive,"béef, trincà",biere,vìviri,bever
93,to eat,mangiare,manger,comer,menjar,comer,manjar,essen,to eat,jesti,jesti,eszik,mangjâ,mangiâ,"mangià, majà, maeà, magnà",pappare,"manciari, pistiari",magnar
94,to bite,mordere,mordre,morder,mossegar,morder,mossegar,beißen,to bite,gristi,"ujesti, ugristi",harap,muardi,adentâ,"cagnà, sgagnà",mordere,muzzicari,morsigar
95,to suck,succhiare,sucer,chupar,xuclar,chupar,chucar,"lutschen, saugen",to suck,sesati,sisati,"szop, szopik",supâ,susâ,"sciüscià, ciücà",suere,sucari,ciuciar
96,to spit,sputare,cracher,escupir,escopir,cuspir,escopir,"speien, spucken",to spit,pljuvati,pljuvati,köp,spudâ,spuâ,"spüà, spuvà",istuppiare,sputari,spudar
97,to vomit,vomitare,vomir,vomitar,vomitar,vomitar,racar,"brechen, erbrechen",to vomit,"bruhati, bljuvati",povraćati,hány,gomitâ,vomitâ,"trà sù, trà sü",istercorare,sbummicari,vometar
98,to blow,soffiare,souffler,soplar,bufar,soprar,bofar,"blasen, pusten, wehen",to blow,pihati,"duvati, puhati",fúj,soflâ,sciusciâ,"boffà, bufà",buffare,ciusciari,sofiar
99,to breathe,respirare,respirer,respirar,respirar,respirar,alenar,atmen,to breathe,dihati,disati,lélegzik,respirâ,respiâ,fiadà,respirare,ciatari,respirar
100,to laugh,ridere,rire,reír,riure,rir,rire,lachen,to laugh,smejati se,"smejati se, smijati se",nevet,ridi,rîe,"ghignà, riit",riere,rìdiri,rider
101,to see,vedere,voir,ver,"veure, vore",ver,"veire, véser",sehen,to see,videti,"videti, vidjeti",lát,viodi,védde,"vedè, véet",vìdere,vìdiri,veder
102,to hear,sentire,"entendre, (obs.) ouïr",oír,sentir,ouvir,"ausir, entendre",hören,to hear,slišati,čuti,hall,sintî,sentî,sentì,sentire,sèntiri,sentir
103,to know,sapere,savoir,saber,saber,saber,"saber, saupre","kennen, wissen",to know,vedeti,znati,tud,savê,savéi,"savè, cognoss, cugnuss",ischire,sapiri,saver
104,to think,pensare,penser,pensar,pensar,pensar,pensar,denken,to think,misliti,misliti,gondol,pensâ,pensâ,pensà,pensare,pinzari,creder
105,to smell,odorare,sentir,oler,"olorar, ensumar",cheirar,sentir,riechen,to smell,vohati,"njušiti, mirisati",szagol,nasâ,ödoâ,"spuzà, fà uduur, savè de, sentì de",annajare,ciagurari,spuzar
106,to fear,temere,craindre,temer,témer,temer,crénher,fürchten,to fear,bati se,"plašiti, bojati se, strahovati",fél,temi,témme,"vecch pagüra, sgagiass, strimiss",timere,scantàrisi,gaver paura
107,to sleep,dormire,dormir,dormir,dormir,dormir,dormir,schlafen,to sleep,spati,spavati,alszik,durmî,dormî,"durmì, dörmì",dormire,dòrmiri,dormir
108,to live,vivere,vivre,vivir,viure,viver,viure,leben,to live,živeti,"živeti, živjeti",él,vivi,vîve,viif,vivere,campari,viver
109,to die,morire,mourir,morir,morir,morrer,morir,sterben,to die,umreti,"umreti, umrijeti",meghal,murî,moî,murì,morrere,mòriri,"morir, crepar"
110,to kill,"uccidere, ammazzare",tuer,matar,matar,matar,tuar,"töten, umbringen",to kill,ubiti,"ubiti, usmrtiti",öl,copâ,amasâ,"mazà, cupà","occhiere, abbutzianare","accìdiri, ammazzari","mazar, copar"
111,to fight,combattere,lutter,"luchar, puñar (obs.)",lluitar,lutar,se batre,"fechten, kämpfen",to fight,boriti se,"tući, boriti se",harcol,lotâ,conbatte,"fà guèra, cumbàtt",cumbattere,cummàttiri,lotar
112,to hunt,cacciare,chasser,cazar,caçar,caçar,caçar,jagen,to hunt,loviti,loviti,vadászik,cjaçâ,cacciâ,cascià,catzare,cacciari,cazare
113,to hit,colpire,"frapper, battre","golpear, batir","colpejar, batre, colpir","golpear, bater","trucar, tustar",schlagen,to hit,udariti,udarati,üt,colpî,batte,"trüssà, picà, ciappà",colpare,cafuḍḍari,bater
114,to cut,tagliare,couper,cortar,tallar,cortar,talhar,schneiden,to cut,rezati,"seći, sjeći, sići, rezati",vág,taiâ,tagiâ,"tajà, mucià, fà giò, scürtà","tagliare, mutzare",tagghiari,tajar
115,to split,dividere,"fendre, diviser","partir, dividir","partir, dividir","partir, dividir","partir, se dividir","spalten, spleißen",to split,"razcepiti, razdvojiti","deliti, dijeliti",hasít,dividi,dividde,"spartì, separà","dividire, ispartzire",spàrtiri,divider
116,to stab,pugnalare,poignarder,apuñalar,"punyir, apunyalar","apunhalar, esfaquear","estocar, escanar",stechen,to stab,"zabosti, zbosti",ubosti,szúr,scurtissâ,cotelâ,"sbögià, infulcinà","pugnalare, istoccadare","tagghiari, cutiḍḍijari",sbusar
117,to scratch,graffiare,gratter,"rascar, raspar, arañar","rascar, gratar","rascar, raspar, arranhar","rascar, gratar","kratzen, ritzen, scharren",to scratch,praskati,češati,vakar,sgrafâ,gratâ,"sfrisà, sbregà, sgarbelà, sgraffignà",iscarrafare,grattari,sgrafare
118,to dig,scavare,creuser,"cavar, excavar","cavar, excavar","cavar, escavar",cavar,graben,to dig,kopati,kopati,ás,scavà,scavâ,"scavà, rugà, fà giò ona zocca, spalà foeu",iscavare,scavari,scavar
119,to swim,nuotare,nager,nadar,nedar,nadar,nadar,schwimmen,to swim,plavati,plivati,úszik,nadâ,nuâ,"nudà, nuà",nadare,natari,nuotar
120,to fly,volare,voler,volar,volar,voar,volar,fliegen,to fly,leteti,"leteti, letjeti",repül,svolâ,xoâ,"sgorà, sgurà",bolare,vulari,svolar
121,to walk,camminare,"marcher, se promener (intrans.)","caminar, andar",caminar,"andar, caminhar","anar, caminar",gehen,to walk,hoditi,hodati,jár,cjaminâ,caminâ,caminà,caminare,caminari,caminar
122,to come,venire,venir,venir,"venir, vindre",vir,venir,kommen,to come,priti,dolaziti,jön,vignî,vegnî,"vegnì, vegnì scià",bennere,vèniri,vegnir
123,to lie (as in a bed),"distendersi, giacere",gésir,yacer,jeure,jazer,jaire,liegen,to lie (as in a bed),ležati,ležati,fekszik,distirâsi,destendise,"stravacass giò, trass là, slongass giò",giacchire,curcàrisi,stravacar
124,to sit,sedersi,s'asseoir (intrans.),sentarse (intrans.),asseure's (intrans.),sentar,se sèire,sitzen,to sit,sedeti,"sedeti, sjediti",ül,sintâsi,asetâse,setass giò,sentare,assittàrisi,sentar
125,to stand,"stare in piedi, stare eretto",être (debout),"estar (parado/de pie), levantarse, pararse",estar (dempeus),estar (de pé),estar drech(a),stehen,to stand,stati,stajati,áll,stâ impins,stâ in piêi,"vess in pee, stà sù drizz",istare in cambas,stari  â dritta,star
126,to turn (intransitive),girare,tourner,girar,"girar, tombar",girar,virar,drehen,to turn (intransitive),obrniti,skrenuti,fordul,zirâ,gjâ,"voltass, girà",boltare,"girari, firrijari",girar
127,to fall,cadere,tomber,caer,caure,cair,"caire, tombar",fallen,to fall,pasti,pasti,esik,colâ,càzze,burlà giò,ruere,càdiri,cascar
128,to give,dare,donner,dar,"donar, dar",dar,"bailar, donar",geben,to give,dati,dati,ad,dâ,dâ,dà,dare,dari,dar
129,to hold,tenere,tenir,"tener (means also ""to have""), sostener","tenir (means also ""to have""), aguantar","ter (means also ""to have"")",tenir,halten,to hold,držati,držati,tart,tignî,tegnî,tegnì,tennere,tèniri,tener
130,to squeeze,spremere,"presser, comprimer","apretar, comprimir, exprimir","estrènyer, prémer","apertar, comprimir, espremer",pressar,quetschen,to squeeze,stiskati,"stisnuti, steći",sajtol,struça,spremme,schiscià,ispremere,mùnciri,strucar
131,to rub,strofinare,"frotter, frayer (obs.)","frotar, fregar",fregar,esfregar,fretar,reiben,to rub,drgniti,trljati,dörgöl,russâ,fretâ,"strusà, gratà, fregà sù",frigare,stricari,fregar
132,to wash,lavare,laver,lavar,"rentar, netejar",lavar,lavar,waschen,to wash,umivati,prati,mos,lavâ,lavâ,"lavà, sgorà",illoddiare,lavari,lavar
133,to wipe,asciugare,essuyer,"restregar, enjugar",eixugar,enxugar,eissugar,wischen,to wipe,brisati,brisati,töröl,suiâ,sciugâ,sügà,assugare,"asciucari, astujari","netar, sugar"
134,to pull,tirare,tirer,"tirar, halar, jalar (colloq.)","estirar, tibar",tirar,tirar,ziehen,to pull,vleči,vući,húz,tirâ,tiâ,tirà in scià,tirare,tirari,tirar
135,to push,spingere,pousser,empujar,empènyer,empurrar,butar,"drücken, schieben",to push,"potisniti, suniti",gurati,tol,sburtâ,spinze,rüzà,ispinghere,ammuttari,spinger
136,to throw,lanciare,"jeter, lancer","lanzar, echar",llançar,lançar,lançar,werfen,to throw,vreči,"baciti, vrgnuti",hajít,lançâ,tiâ,"slanzà, trà per ari, tirà",frundire,jittari,"butar, tirar"
137,to tie,legare,lier,atar,lligar,atar,estacar,"binden, knüpfen",to tie,vezati,vezati,köt,leâ,ligâ,"ligà sü, fà sù",ligare,attaccari,ligar
138,to sew,cucire,coudre,coser,cosir,coser,coire,nähen,to sew,šivati,šiti,varr,cusî,cuxî,cüsì,cosire,cùsiri,cusire
139,to count,contare,compter,contar,comptar,contar,comptar,"rechnen, zählen",to count,šteti,"brojati, brojiti",számol,contâ,contâ,cüntà,contare,cuntari,contar
140,to say,dire,dire,decir,dir,dizer,"dire, díser",sagen,to say,reči,"reći, kazati",mond,dî,dî,dì,narrere,cuntari,diser
141,to sing,cantare,chanter,cantar,cantar,cantar,cantar,singen,to sing,peti,"pevati, pjevati",énekel,cjantâ,cantâ,cantà,cantare,cantari,cantar
142,to play,giocare,jouer,jugar,jugar,jogar,jogar,spielen,to play,igrati,igrati,játszik,zuiâ,zugâ,giügà,giogare,jucari,zogar
143,to float,galleggiare,flotter,flotar,"flotar, surar","flutuar, boiar",flotar,schweben,to float,plavati,"plutati, ploviti",lebeg,vongolâ,galezâ,"stà dessoravìa, andà a gala, stà a gala, stà sü",gallizare,galliggiari,galejare
144,to flow,"fluire, scorrere",couler,fluir,fluir,fluir,rajar,"fließen, strömen",to flow,teči,teći,folyik,scolâ,scorre,sculà,iscurrere,scùrriri,scolar
145,to freeze,gelare,geler,"congelar, helar","gelar, glaçar",gelar,gelar,frieren,to freeze,zamrzniti,"zalediti, smrznuti",megfagy,glaçâ,zeâ,gelà,astragare,gnilari,jazar
146,to swell,gonfiare,gonfler,"hincharse (intran.), inflarse (intran.)",inflar,inchar-se (intran.),coflar,schwellen,to swell,oteči,"oteći, nabreknuti",dagad,sglonfâ,gonfiâ,sgonfià,abburvuddare,vunchiari,sgionfar
147,sun,sole,soleil,sol,sol,sol,solelh,Sonne,sun,sonce,sunce,nap,soreli,sô,suu,sole,suli,sol
148,moon,luna,lune,luna,lluna,lua,luna,Mond,moon,luna,"mesec, mjesec",hold,lune,lùnn-a,lüna,luna,luna,luna
149,star,stella,étoile,estrella,"estel, estrella",estrela,estela,Stern,star,zvezda,"zvezda, zvijezda",csillag,stele,stélla,stéla,isteddu,stiḍḍa,stela
150,water,acqua,eau,agua,aigua,água,aiga,Wasser,water,voda,voda,víz,aghe,ægoa,aqua,abba,acqua,acua
151,rain,pioggia,pluie,lluvia,pluja,chuva,"pluèja, pluòja",Regen,rain,dež,"dažd, kiša",eső,ploie,ægoa,pioèuva,pioza,chiuvia,piova
152,river,fiume,"fleuve, rivière",río,riu,rio,riu,Fluss,river,reka,"reka, rijeka",folyó,flum,sciùmme,fjüm,flumene,ciumi,fiume
153,lake,lago,lac,lago,llac,lago,lac,See,lake,jezero,jezero,tó,lâc,lâgo,laach,lagu,lacu,lago
154,sea,mare,mer,mar,mar,mar,mar,Meer,sea,morje,more,tenger,mâr,mâ,maar,mare,mari,mar
155,salt,sale,sel,sal,sal,sal,sal,Salz,salt,sol,"sol, so",só,sâl,sâ,"saa, saal",sale,sali,sal
156,stone,"sasso, pietra",pierre,piedra,pedra,pedra,pèira,Stein,stone,kamen,"kamen, stena, stijena",kő,piere,prîa,sass,pedra,petra,piera
