gold_name,method,experiment,variant,model_id,n_shared_full,rho,n_shared_dial_ext,rho2,root_kind,distances_csv
lexicostat_ldnd,multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,13,0.1499,36,0.2049,experiments,analysis/multilingual_xlmr/experiments/mlm_wiki_then_tlm_oldi_to_flores/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,13,0.0851,36,0.4788,experiments,analysis/sentence_minilm/experiments/mnrl_oldi_to_flores/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,13,0.0637,36,0.0860,experiments,analysis/multilingual_xlmr/experiments/tlm_oldi_to_flores/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,sentence_minilm,wiki,sentence,sentence_minilm__wiki__sentence,5,-0.4545,0,,old_experiments,analysis/sentence_minilm/old_experiments/wiki/evaluation_results/sentence/distances.csv
lexicostat_ldnd,canine,flores,,canine__flores,0,,0,,old_experiments,analysis/canine/old_experiments/flores/evaluation_results/distances.csv
lexicostat_ldnd,fasttext,flores,bpe,fasttext__flores__bpe,0,,0,,old_experiments,analysis/fasttext/old_experiments/flores/evaluation_results/bpe/distances.csv
lexicostat_ldnd,fasttext,flores,fasttext,fasttext__flores__fasttext,0,,0,,old_experiments,analysis/fasttext/old_experiments/flores/evaluation_results/fasttext/distances.csv
lexicostat_ldnd,multilingual_xlmr,finetuned_flores,baseline,multilingual_xlmr__finetuned_flores__baseline,0,,0,,old_experiments,analysis/multilingual_xlmr/old_experiments/finetuned_flores/evaluation_results/baseline/distances.csv
lexicostat_ldnd,multilingual_xlmr,finetuned_flores,mlm_then_tlm,multilingual_xlmr__finetuned_flores__mlm_then_tlm,0,,0,,old_experiments,analysis/multilingual_xlmr/old_experiments/finetuned_flores/evaluation_results/mlm_then_tlm/distances.csv
lexicostat_ldnd,multilingual_xlmr,finetuned_flores,mlm_wiki,multilingual_xlmr__finetuned_flores__mlm_wiki,0,,0,,old_experiments,analysis/multilingual_xlmr/old_experiments/finetuned_flores/evaluation_results/mlm_wiki/distances.csv
lexicostat_ldnd,multilingual_xlmr,finetuned_flores,tlm_oldi,multilingual_xlmr__finetuned_flores__tlm_oldi,0,,0,,old_experiments,analysis/multilingual_xlmr/old_experiments/finetuned_flores/evaluation_results/tlm_oldi/distances.csv
lexicostat_ldnd,multilingual_xlmr,flores,,multilingual_xlmr__flores,0,,0,,old_experiments,analysis/multilingual_xlmr/old_experiments/flores/evaluation_results/distances.csv
lexicostat_ldnd,sentence_minilm,finetuned_flores,baseline,sentence_minilm__finetuned_flores__baseline,0,,0,,old_experiments,analysis/sentence_minilm/old_experiments/finetuned_flores/evaluation_results/baseline/distances.csv
lexicostat_ldnd,sentence_minilm,flores,sentence,sentence_minilm__flores__sentence,0,,0,,old_experiments,analysis/sentence_minilm/old_experiments/flores/evaluation_results/sentence/distances.csv
lexicostat_ldnd,tfidf,flores,char,tfidf__flores__char,0,,0,,old_experiments,analysis/tfidf/old_experiments/flores/evaluation_results/char/distances.csv
lexicostat_ldnd,tfidf,flores,word,tfidf__flores__word,0,,0,,old_experiments,analysis/tfidf/old_experiments/flores/evaluation_results/word/distances.csv
lexicostat_ldnd,word2vec,flores,,word2vec__flores,0,,0,,old_experiments,analysis/word2vec/old_experiments/flores/evaluation_results/distances.csv
