method,dialect,sibl_mean,rom_mean,nonrom_mean,ext_min,ext_mean,rank_sibl_mean,rank_rom_mean,rank_nonrom_mean,rank_ext_min,rank_ext_mean
Word2Vec (norm),lij,0.1708,0.2158,0.3758,0.1453,0.2885,3,3,1,3,2
Word2Vec (norm),lmo,0.1590,0.1770,0.3882,0.1228,0.2730,1,1,3,2,1
Word2Vec (norm),sc,0.2505,0.2801,0.4385,0.2428,0.3521,6,5,5,6,5
Word2Vec (norm),scn,0.2392,0.3153,0.4585,0.1956,0.3804,5,6,6,4,6
Word2Vec (norm),vec,0.1606,0.2116,0.3836,0.0933,0.2898,2,2,2,1,3
Word2Vec (native),fur,0.2369,0.2861,0.4233,0.2171,0.3485,4,4,4,4,4
Word2Vec (native),lij,0.2234,0.2767,0.4015,0.1843,0.3334,3,3,2,3,3
Word2Vec (native),lmo,0.1972,0.2215,0.3932,0.1782,0.2995,1,1,1,2,1
Word2Vec (native),sc,0.2974,0.3121,0.4457,0.2712,0.3729,6,5,5,6,5
Word2Vec (native),scn,0.2945,0.3730,0.4810,0.2305,0.4221,5,6,6,5,6
Word2Vec (native),vec,0.2153,0.2710,0.4034,0.1301,0.3311,2,2,3,1,2
TF-IDF char (norm),fur,0.6002,0.6146,0.7933,0.5060,0.6958,4,4,3,4,4
TF-IDF char (norm),lij,0.5757,0.5885,0.7977,0.4519,0.6836,3,3,4,2,3
TF-IDF char (norm),lmo,0.5441,0.5527,0.7745,0.4836,0.6536,2,2,2,3,2
TF-IDF char (norm),sc,0.6527,0.6246,0.8191,0.5794,0.7130,6,5,5,6,5
TF-IDF char (norm),scn,0.6479,0.7322,0.8459,0.5466,0.7839,5,6,6,5,6
TF-IDF char (norm),vec,0.5251,0.5308,0.7643,0.3645,0.6369,1,1,1,1,1
TF-IDF char (native),fur,0.6777,0.6737,0.8281,0.5480,0.7439,3,4,2,3,4
TF-IDF char (native),lij,0.6639,0.6608,0.8394,0.5234,0.7419,2,3,3,2,2
TF-IDF char (native),lmo,0.6797,0.6773,0.8456,0.6221,0.7538,4,5,4,6,5
TF-IDF char (native),sc,0.7128,0.6551,0.8462,0.6092,0.7420,6,2,5,5,3
TF-IDF char (native),scn,0.7124,0.7671,0.8711,0.5850,0.8144,5,6,6,4,6
TF-IDF char (native),vec,0.6232,0.6128,0.8142,0.4536,0.7043,1,1,1,1,1
TF-IDF word (norm),fur,0.7936,0.8244,0.9600,0.5787,0.8860,4,4,5,1,4
TF-IDF word (norm),lij,0.7897,0.8121,0.9438,0.7477,0.8720,3,3,2,5,3
TF-IDF word (norm),lmo,0.7663,0.7472,0.9529,0.6731,0.8407,1,1,3,2,1
TF-IDF word (norm),sc,0.8772,0.8728,0.9545,0.8319,0.9099,6,5,4,6,5
TF-IDF word (norm),scn,0.8674,0.9128,0.9700,0.7439,0.9388,5,6,6,4,6
TF-IDF word (norm),vec,0.7788,0.7942,0.9352,0.7204,0.8583,2,2,1,3,2
TF-IDF word (native),fur,0.8109,0.8318,0.9646,0.5810,0.8922,3,3,4,1,4
TF-IDF word (native),lij,0.8101,0.8165,0.9468,0.7599,0.8757,2,2,2,3,2
TF-IDF word (native),lmo,0.8023,0.7593,0.9647,0.6907,0.8527,1,1,5,2,1
TF-IDF word (native),sc,0.8843,0.8702,0.9551,0.8275,0.9088,5,5,3,6,5
TF-IDF word (native),scn,0.9000,0.9266,0.9769,0.7603,0.9495,6,6,6,4,6
TF-IDF word (native),vec,0.8181,0.8354,0.9395,0.7744,0.8827,4,4,1,5,3
