,Abruzzo,Basilicata,Calabria,Campania,Canton Ticino,Cantone Grigioni,Corsica,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige,Umbria,Val d’Aosta,Veneto
Liguria,0.5777,0.6223,0.5502,0.5485,0.4498,0.5481,0.5449,0.4854,0.5406,0.5617,0.0000,0.4470,0.4833,0.5761,0.3978,0.5802,0.6411,0.5553,0.4916,0.5634,0.5257,0.5925,0.4423
Lombardia,0.5950,0.6249,0.6015,0.5804,0.3590,0.5005,0.5667,0.3808,0.5079,0.5804,0.4470,0.0000,0.4573,0.5827,0.4321,0.6036,0.6643,0.5887,0.4674,0.5001,0.5022,0.6302,0.4188
Marche,0.4740,0.5419,0.5163,0.5014,0.4903,0.5619,0.5279,0.3949,0.5356,0.4805,0.4833,0.4573,0.0000,0.4685,0.4893,0.5393,0.6635,0.5436,0.4383,0.5284,0.3970,0.5994,0.4512
Molise,0.2955,0.3613,0.4355,0.3456,0.5963,0.6068,0.5420,0.5796,0.6051,0.3117,0.5761,0.5827,0.4685,0.0000,0.5819,0.3920,0.6545,0.5154,0.4582,0.6236,0.4517,0.6439,0.5502
Piemonte,0.5856,0.6238,0.5683,0.5786,0.4134,0.5344,0.5678,0.4443,0.5232,0.5840,0.3978,0.4321,0.4893,0.5819,0.0000,0.5965,0.6583,0.5633,0.5054,0.5670,0.5547,0.5668,0.4779
Puglia,0.4523,0.3836,0.4345,0.4034,0.6044,0.6375,0.5552,0.6027,0.6214,0.4433,0.5802,0.6036,0.5393,0.3920,0.5965,0.0000,0.6532,0.4661,0.5288,0.6367,0.5117,0.6841,0.5997
Sardegna,0.6560,0.6751,0.6033,0.6394,0.6723,0.6847,0.5746,0.6648,0.6752,0.6407,0.6411,0.6643,0.6635,0.6545,0.6583,0.6532,0.0000,0.6395,0.6503,0.7008,0.6361,0.7381,0.6663
Sicilia,0.5206,0.5018,0.3717,0.4256,0.6005,0.6245,0.4928,0.5863,0.6013,0.4759,0.5553,0.5887,0.5436,0.5154,0.5633,0.4661,0.6395,0.0000,0.5574,0.6449,0.5004,0.6729,0.6050
Toscana,0.4854,0.5381,0.5377,0.5260,0.5190,0.5274,0.5272,0.4551,0.5192,0.4878,0.4916,0.4674,0.4383,0.4582,0.5054,0.5288,0.6503,0.5574,0.0000,0.5399,0.4709,0.6265,0.4556
Trentino-Alto Adige,0.6226,0.6732,0.6384,0.6313,0.5438,0.5177,0.6522,0.5238,0.5044,0.6003,0.5634,0.5001,0.5284,0.6236,0.5670,0.6367,0.7008,0.6449,0.5399,0.0000,0.5282,0.6375,0.4376
Umbria,0.4441,0.5124,0.4612,0.4319,0.5637,0.5857,0.4926,0.5013,0.5694,0.3985,0.5257,0.5022,0.3970,0.4517,0.5547,0.5117,0.6361,0.5004,0.4709,0.5282,0.0000,0.5974,0.4439
Val d’Aosta,0.6577,0.7050,0.6857,0.6620,0.6149,0.6614,0.6928,0.6349,0.6346,0.6446,0.5925,0.6302,0.5994,0.6439,0.5668,0.6841,0.7381,0.6729,0.6265,0.6375,0.5974,0.0000,0.6155
Veneto,0.5653,0.6263,0.6029,0.5602,0.4484,0.5143,0.5693,0.4193,0.4801,0.5567,0.4423,0.4188,0.4512,0.5502,0.4779,0.5997,0.6663,0.6050,0.4556,0.4376,0.4439,0.6155,0.0000
